re78,treat,age,education,married,black,hispanic,nodegree,re74,re75
0,0,20,12,1,0,0,0,0,7.1613
19.2104,0,18,12,1,0,0,0,0,8.0565
20.6882,0,27,12,1,0,0,0,0,8.2355
36.9432,0,28,16,1,0,0,0,0,8.9516
11.8218,0,36,12,1,1,0,0,0,8.9516
20.6882,0,33,13,1,1,0,0,0,0.7419
0,0,36,12,1,0,0,0,0,0.7419
29.5545,0,27,13,1,0,0,0,0,6.1129
17.7327,0,45,17,1,0,0,0,0,6.1129
17.7327,0,45,17,1,0,0,0,0,6.1129
17.7327,0,45,17,1,0,0,0,0,6.1129
0,0,31,12,1,0,0,0,0,7.9032
63.5422,0,34,12,1,0,0,0,0,7.9032
63.5422,0,34,12,1,0,0,0,0,7.9032
22.1659,0,47,14,1,0,0,0,0,7.9032
17.7327,0,35,16,1,0,0,0,0,9.6935
29.5545,0,43,17,1,0,0,0,0,1.1616
1.2206,0,25,12,1,1,0,0,0,1.4839
22.3137,0,29,15,0,0,0,0,0,1.4839
20.6882,0,31,12,1,0,0,0,0,1.4839
22.1659,0,52,12,1,0,0,0,0,1.4839
32.51,0,22,16,0,0,0,0,0,2.5581
28.0768,0,53,15,1,0,0,0,0,4.1694
36.8988,0,29,17,1,0,0,0,0,5.9597
39.8986,0,31,13,1,0,0,0,0,5.9597
29.5545,0,35,12,1,0,0,0,0,6.1387
23.6436,0,29,16,1,0,0,0,0,6.8548
31.0323,0,39,12,1,0,0,0,0,8.6452
0,0,37,14,1,0,0,0,0,2.2258
22.1659,0,30,14,1,0,0,0,0,2.2258
41.3763,0,43,17,1,0,0,0,0,2.2516
39.8986,0,32,17,1,0,0,0,0,6.5484
81.275,0,44,12,1,0,0,0,0,1.6129
18.609,0,32,16,1,0,0,0,0.578,6.9106
5.9109,0,43,12,1,1,0,0,0.7151,1.8798
10.3441,0,24,12,0,1,0,0,0.7837,0
2.3053,0,22,13,0,0,0,0,0.7837,0
0,0,35,15,1,0,0,0,0.9796,0.5371
3.251,0,26,15,0,0,0,0,0.9796,1.8798
0,0,29,17,1,0,0,0,0.9796,8.9516
5.9109,0,23,12,0,1,0,0,1.0776,3.2226
26.5991,0,19,12,1,0,0,0,1.154,8.5935
1.1526,0,48,16,1,0,0,0,1.2402,1.4663
1.1526,0,48,16,1,0,0,0,1.2402,1.4663
0,0,22,12,1,1,0,0,1.2696,0
2.9555,0,20,12,0,1,0,0,1.3676,2.5323
24.8258,0,24,17,1,0,0,0,1.3715,0
4.3637,0,27,16,1,0,0,0,1.4695,1.2532
11.0829,0,21,14,0,0,0,0,1.5067,2.6855
4.7287,0,53,13,1,0,0,0,1.5674,3.9387
4.7287,0,53,13,1,0,0,0,1.5674,3.9387
2.9555,0,53,16,1,0,0,0,1.6654,0
22.1659,0,22,15,1,0,0,0,1.7633,5.371
4.1376,0,21,15,0,0,0,0,1.7633,9.6677
1.4777,0,30,12,1,0,0,0,1.9593,1.7903
1.1526,0,21,12,0,1,0,0,1.9593,5.4605
21.427,0,27,16,1,0,0,0,1.9593,7.5452
5.0243,0,22,15,0,0,0,0,1.9671,2.8645
0,0,22,12,1,1,0,0,2.0063,2.4706
11.3785,0,23,13,1,0,0,0,2.1552,5.371
2.7707,0,33,12,1,0,0,0,2.3511,0
14.7773,0,24,13,0,0,0,0,2.3511,3.1277
17.7327,0,20,12,0,1,0,0,2.3511,4.4758
25.8602,0,22,16,0,0,0,0,2.3511,3.2742
0,0,19,12,1,0,0,0,2.547,0.7419
25.8602,0,22,15,1,0,0,0,2.547,7.1871
6.9926,0,43,14,1,0,0,0,2.645,0
11.8218,0,39,12,1,0,0,0,2.743,7.1613
0,0,28,12,0,1,0,0,2.9389,2.8645
0,0,19,14,0,0,0,0,2.9389,3.2226
23.6436,0,26,17,1,0,0,0,2.9389,2.5323
20.6882,0,18,12,1,0,0,0,3.1348,1.1
9.9747,0,23,15,1,0,0,0,3.321,2.5065
11.8218,0,24,12,0,1,0,0,3.3308,4.6548
5.9109,0,27,12,1,0,0,0,3.5267,0
24.3825,0,29,17,1,0,0,0,3.5267,5.2177
11.8218,0,22,12,0,1,0,0,3.5796,7.1334
1.0906,0,27,12,1,0,0,0,3.7226,0.2542
19.2104,0,27,15,1,0,0,0,3.7226,4.6548
13.2995,0,20,12,0,1,0,0,3.7304,8.9516
17.7327,0,27,12,1,1,0,0,3.9185,1.9944
8.8664,0,23,12,1,1,0,0,3.9185,2.8645
9.753,0,23,12,1,1,0,0,3.9185,1.6371
39.8986,0,22,12,1,0,0,0,3.9185,5.3968
24.9736,0,31,12,1,1,0,0,3.9185,8.4403
9.4575,0,26,17,0,0,0,0,4.1732,1.6371
4.4332,0,20,12,1,0,0,0,4.3104,0
22.4762,0,30,17,1,0,0,0,4.3104,4.2968
16.255,0,42,16,0,0,0,0,4.3986,7.9032
23.0525,0,21,14,1,0,0,0,4.5063,9.3097
0,0,25,16,1,0,0,0,4.6043,2.954
0,0,27,15,1,0,0,0,4.7022,0
26.5991,0,26,17,1,0,0,0,4.7022,9.6935
23.6436,0,29,16,1,0,0,0,4.8002,7.1871
0,0,20,12,0,0,0,0,4.812,0.7161
0,0,52,12,1,0,0,0,4.8982,0
33.9877,0,23,17,0,0,0,0,4.8982,2.1484
17.1416,0,21,14,1,0,0,0,4.8982,7.1613
17.7327,0,24,16,0,0,0,0,4.8982,8.9516
5.172,0,30,17,1,0,0,0,4.8982,2.0847
5.0302,0,25,17,0,0,0,0,4.9961,7.4145
7.3886,0,21,12,1,0,0,0,5.0941,6.8032
9.0141,0,28,12,1,0,0,0,5.0941,0.7419
15.2442,0,20,12,1,0,0,0,5.1823,6.2661
5.3198,0,36,16,0,0,0,0,5.29,4.8339
12.1174,0,19,12,0,1,0,0,5.388,8.0565
10.0485,0,21,12,1,1,0,0,5.868,3.0435
5.3198,0,47,12,1,0,0,0,5.868,9.5138
33.9877,0,24,16,1,0,0,0,5.8778,4.8339
17.7327,0,24,12,1,1,0,0,5.8778,8.9516
30.1013,0,25,17,1,0,0,0,5.8778,0.5629
16.9939,0,21,16,1,0,0,0,5.8778,0.5629
15.9594,0,31,12,1,1,0,0,5.8778,1.0642
31.0323,0,26,14,1,0,0,0,5.8778,3.4274
5.7631,0,22,12,0,1,0,0,5.8915,0.3678
14.7773,0,20,13,0,1,0,0,5.8974,2.5323
27.3379,0,20,13,1,0,1,0,6.0737,0.0258
26.008,0,27,14,1,0,0,0,6.2697,0
10.3441,0,26,12,0,0,0,0,6.2697,1.6371
0,0,23,17,1,0,0,0,6.3676,5.371
14.1862,0,23,12,0,1,0,0,6.495,2.5323
0,0,22,12,0,1,0,0,6.5831,4.4758
11.2086,0,21,12,0,1,0,0,6.6615,1.4581
25.1214,0,21,12,1,0,0,0,6.6615,2.5323
13.7429,0,28,14,1,0,0,0,6.7399,7.8774
8.2753,0,27,12,1,1,0,0,6.8555,0
0,0,25,14,0,0,0,0,6.8574,1.7903
3.251,0,30,12,1,0,0,0,6.8574,3.2226
24.514,0,27,13,1,1,0,0,6.8574,4.0963
17.3633,0,22,13,0,0,0,0,6.8574,6.2661
22.1659,0,23,16,1,0,0,0,6.8574,4.1435
26.5991,0,24,12,1,1,0,0,6.8574,4.3226
17.7327,0,19,13,0,0,0,0,6.8574,5.2177
17.1416,0,21,14,1,0,0,0,6.975,1.4079
8.8664,0,29,17,1,0,0,0,7.0534,7.1613
25.1214,0,27,16,1,0,0,0,7.0534,1.6371
9.1619,0,28,15,1,0,0,0,7.2493,5.2177
2.9555,0,26,12,1,0,0,0,7.406,0
0,0,54,12,1,0,0,0,7.4452,0
12.7084,0,28,15,0,1,0,0,7.4452,0
18.4716,0,27,15,1,0,0,0,7.4452,0.7419
9.6052,0,26,13,0,0,0,0,7.4491,5.729
0,0,21,12,1,0,0,0,7.5236,7.9347
8.1275,0,53,14,1,1,0,0,7.6411,8.4217
11.0829,0,21,13,1,0,0,0,7.6882,2.7435
16.255,0,22,13,0,0,0,0,7.7391,3.7597
0,0,27,16,0,0,0,0,7.8371,0
11.8218,0,37,15,1,0,1,0,7.8371,0.179
16.255,0,33,13,0,0,0,0,7.8371,3.5806
3.6943,0,19,12,0,1,0,0,7.8371,3.7597
15.6639,0,28,12,1,0,0,0,7.8371,4.4758
8.8664,0,32,12,1,1,0,0,7.8371,5.371
5.9109,0,24,12,0,0,0,0,7.8371,5.371
17.7327,0,22,12,0,0,0,0,7.8371,7.4979
20.6882,0,20,12,1,1,0,0,7.8371,8.9516
12.0582,0,23,12,1,0,0,0,7.8371,8.9516
2.2107,0,27,12,1,1,0,0,7.8371,8.9516
21.8704,0,23,12,1,1,0,0,7.8371,2.5323
13.2995,0,19,12,1,0,1,0,7.8371,2.5323
16.255,0,27,14,0,0,0,0,7.8371,4.3226
16.255,0,22,16,1,0,0,0,7.8371,6.1129
15.5161,0,42,12,1,0,0,0,7.8371,6.1129
2.2166,0,20,13,0,0,0,0,7.8371,7.4915
0,0,29,13,0,0,0,0,7.9585,0
4.4332,0,23,12,1,1,0,0,7.9938,3.4274
11.9637,0,19,12,1,0,0,0,8.0545,9.3097
10.5835,0,21,12,1,1,0,0,8.1505,3.0926
11.9696,0,26,12,1,0,0,0,8.2289,3.6065
27.3379,0,21,16,0,0,0,0,8.2289,2.379
8.3359,0,24,12,1,1,0,0,8.2759,5.4165
14.4817,0,29,12,1,0,0,0,8.3896,5.9081
10.3441,0,26,12,1,1,0,0,8.6169,8.5935
13.004,0,23,14,1,1,0,0,8.6756,0.3982
15.8117,0,25,12,0,0,0,0,8.6835,9.1306
18.0962,0,21,12,1,0,0,0,8.8167,5.729
10.3441,0,25,12,0,1,0,0,8.8167,6.2661
15.4866,0,22,12,1,0,0,0,8.8167,9.9399
19.6538,0,22,12,1,0,0,0,8.8167,0.7419
18.4716,0,23,12,1,1,0,0,8.8167,2.1742
22.1659,0,18,12,0,0,0,0,8.8167,4.3226
19.2104,0,27,12,0,1,0,0,8.8167,4.3226
5.5784,0,21,12,0,1,0,0,8.8167,4.8597
26.5991,0,25,12,1,0,0,0,8.8167,6.1129
28.2246,0,21,13,1,0,0,0,8.8167,7.9032
0,0,27,12,1,0,0,0,8.8167,4.7581
10.4165,0,23,12,1,0,0,0,8.8402,7.1613
17.7327,0,21,12,1,0,0,0,8.8676,4.9957
8.8664,0,23,14,1,1,0,0,8.9343,2.5323
19.2104,0,23,16,0,1,0,0,9.0126,6.4907
39.8173,0,31,17,1,0,0,0,9.0126,9.4651
6.6498,0,27,12,1,1,0,0,9.0675,5.371
7.3886,0,21,12,1,1,0,0,9.1694,7.1613
10.4032,0,23,12,1,1,0,0,9.1694,8.2713
11.5263,0,19,12,1,0,0,0,9.2086,5.55
10.3766,0,46,12,1,0,0,0,9.285,8.504
2.2166,0,24,12,1,0,0,0,9.3712,2.8645
8.2753,0,20,13,0,0,1,0,9.4045,0
22.9048,0,24,17,1,0,0,0,9.4045,5.371
11.8218,0,23,12,1,0,0,0,9.4045,9.1306
23.4752,0,34,12,1,0,0,0,9.4045,9.1665
11.8218,0,35,12,1,0,0,0,9.4045,9.3133
16.8461,0,23,12,0,0,0,0,9.4045,1.834
9.9008,0,21,14,0,1,0,0,9.4202,5.371
10.5125,0,21,12,1,0,1,0,9.4966,8.7726
13.2995,0,26,12,1,0,0,0,9.5612,0
23.6436,0,23,13,1,0,0,0,9.6984,8.5935
14.0384,0,27,12,1,0,1,0,9.6984,1.279
13.2995,0,50,12,1,0,1,0,9.7885,9.8468
11.8218,0,27,12,1,1,0,0,9.7963,0
25.1214,0,25,12,1,0,0,0,9.7963,2.6855
14.7773,0,21,12,1,1,0,0,9.7963,4.2968
28.7876,0,21,13,1,0,0,0,9.7963,8.5935
0,0,33,12,0,1,0,0,9.7963,8.9516
20.6882,0,19,12,1,0,0,0,9.7963,9.8468
29.259,0,20,12,1,0,0,0,9.7963,0.2048
11.1627,0,22,12,1,1,0,0,9.7963,0.7419
11.8218,0,32,12,1,0,0,0,9.7963,1.4581
11.5263,0,24,13,1,0,0,0,9.7963,1.4581
19.2104,0,29,12,1,1,0,0,9.7963,2.5323
11.8218,0,23,12,1,1,0,0,9.7963,2.5323
20.6882,0,26,14,1,0,0,0,9.7963,3.4274
10.7135,0,20,12,1,0,0,0,9.7963,3.4274
11.8218,0,27,12,1,1,0,0,9.7963,4.3226
33.9877,0,24,12,1,1,0,0,9.7963,4.3226
36.9432,0,24,17,0,0,0,0,9.7963,6.1129
20.6882,0,21,13,0,0,0,0,9.7963,6.1129
6.6498,0,25,12,1,1,0,0,9.7963,1.4839
29.5545,0,30,12,1,1,0,0,9.7963,5.0645
15.6196,0,26,12,0,1,0,0,9.9139,0.7419
14.7773,0,22,12,0,0,0,0,9.9511,4.3226
11.2839,0,47,12,1,0,0,0,9.9687,0.5235
19.9493,0,22,12,0,0,0,0,9.9923,5.7548
9.6052,0,31,12,1,1,0,0,0.1882,8.9516
11.8218,0,35,12,1,0,0,0,0.1882,9.3097
6.5375,0,49,12,1,0,0,0,0.2313,1.0821
12.4868,0,25,13,0,1,0,0,0.247,5.3968
9.221,0,23,12,1,0,0,0,0.2901,0.5629
49.43,0,25,17,1,0,0,0,0.3841,2.0049
11.8218,0,23,16,1,0,0,0,0.3841,6.8548
5.9109,0,34,17,0,0,0,0,0.58,7.1613
12.1174,0,21,12,1,0,0,0,0.58,8.0565
8.8664,0,27,12,0,1,0,0,0.6231,3.2226
11.8218,0,23,12,1,0,0,0,0.776,5.371
16.9939,0,23,12,1,0,0,0,0.776,7.1613
0,0,32,17,0,0,0,0,0.776,7.1613
7.5364,0,27,12,1,1,0,0,0.776,8.9516
8.2753,0,24,12,0,1,0,0,0.776,9.3097
14.1862,0,34,12,1,0,0,0,0.776,1.6371
25.8602,0,29,12,1,0,0,0,0.776,2.5323
0,0,28,14,1,0,0,0,0.776,3.4274
21.427,0,18,12,0,0,0,0,0.776,4.3226
29.5545,0,20,12,0,1,0,0,0.776,6.3725
18.9666,0,25,13,1,0,0,0,0.776,6.7395
29.392,0,23,12,1,1,0,0,0.776,0.4813
35.4654,0,26,17,1,0,0,0,0.776,9.1823
20.1325,0,24,12,0,0,0,0,0.8739,5.7548
31.0323,0,23,12,1,0,0,0,0.9719,0.2048
20.9246,0,23,16,0,0,0,0,0.9719,8.7984
8.8664,0,26,12,1,1,0,0,1.1678,1.0742
17.7327,0,46,12,1,0,0,0,1.1678,7.1613
14.7773,0,23,12,1,1,0,0,1.1678,7.813
12.4129,0,41,12,1,0,0,0,1.1678,0.7419
24.3382,0,19,12,1,0,0,0,1.2011,4.1435
26.5991,0,29,12,1,0,0,0,1.2599,9.0411
10.3441,0,24,12,0,1,0,0,1.2854,3.0694
29.2161,0,23,12,0,1,0,0,1.3285,2.6855
13.2995,0,22,12,1,0,0,0,1.3637,4.6548
13.2995,0,21,12,0,0,0,0,1.3637,9.6677
4.1376,0,27,12,1,0,0,0,1.3637,2.5323
8.8664,0,37,12,1,0,0,0,1.4304,1.3721
27.7813,0,44,12,1,0,0,0,1.5597,7.3403
17.7327,0,38,16,1,0,0,0,1.5597,7.8774
11.8218,0,34,12,1,0,0,0,1.7556,0
0,0,49,12,0,0,0,0,1.7556,0
17.7327,0,23,12,1,0,0,0,1.7556,0
25.875,0,28,14,1,1,0,0,1.7556,0
0.2955,0,43,12,1,0,0,0,1.7556,0
0,0,28,16,0,0,0,0,1.7556,6.4452
20.6882,0,29,12,1,1,0,0,1.7556,9.8468
5.172,0,53,12,1,0,0,0,1.7556,9.8933
12.5607,0,21,12,1,0,0,0,1.7556,0.2048
31.0973,0,24,13,1,1,0,0,1.7556,0.7419
6.6498,0,21,12,1,0,0,0,1.7556,0.7419
13.7429,0,24,12,1,0,0,0,1.7556,1.0749
10.0485,0,21,12,0,0,0,0,1.7556,1.6371
25.1214,0,23,14,1,0,0,0,1.7556,1.6371
0,0,28,12,1,0,0,0,1.7556,2.5323
0,0,28,12,1,0,0,0,1.7556,2.5323
28.9634,0,25,17,1,0,0,0,1.7556,2.6218
16.255,0,23,13,1,0,0,0,1.7556,3.4274
26.5991,0,30,12,1,0,0,0,1.7556,3.6351
14.1862,0,23,12,1,0,0,0,1.7556,3.7855
20.6882,0,26,12,1,0,0,0,1.7556,4.3226
16.255,0,21,12,1,1,0,0,1.7556,4.3226
17.7327,0,26,12,1,0,0,0,1.7556,4.3226
21.427,0,25,12,1,1,0,0,1.7556,4.3226
18.1022,0,22,12,1,0,0,0,1.7556,4.4658
20.6882,0,28,16,1,0,0,0,1.7556,5.2177
0,0,22,13,1,1,0,0,1.7556,5.2177
31.0323,0,24,16,1,0,0,0,1.7556,6.1129
18.442,0,27,15,0,1,0,0,1.7556,6.7449
16.255,0,19,12,0,0,0,0,1.7556,9.3355
0,0,38,14,1,0,0,0,1.7556,9.6935
7.3886,0,38,14,0,0,0,0,1.7556,1.4839
16.8224,0,45,12,1,0,0,0,1.7713,1.2701
16.3422,0,26,12,1,1,0,0,1.7752,4.1507
5.3907,0,31,16,1,0,0,0,1.785,9.8468
12.6567,0,25,13,1,1,0,0,1.9319,3.8249
14.7773,0,25,14,1,0,0,0,1.9731,4.3226
13.1518,0,22,12,1,0,0,0,2.0515,6.0252
13.2995,0,36,12,1,0,0,0,2.1475,3.9645
20.1429,0,27,12,1,0,0,0,2.1475,4.3226
24.3825,0,33,12,1,0,0,0,2.1475,6.1129
26.5991,0,27,12,1,0,0,0,2.1475,3.2742
18.9622,0,30,12,1,1,0,0,2.2258,0.7419
11.2307,0,46,12,1,0,0,0,2.3434,1.6371
14.1862,0,23,14,1,0,0,0,2.3434,2.5323
21.427,0,25,16,1,0,0,0,2.3434,3.6065
25.179,0,27,14,1,0,0,0,2.4198,6.829
12.5607,0,49,16,1,0,0,0,2.504,2.3532
14.3694,0,22,12,1,0,0,0,2.5393,2.5323
23.4959,0,28,16,1,0,0,0,2.5726,1.4839
19.2104,0,24,12,1,1,0,0,2.6588,9.6935
4.2366,0,37,17,1,1,0,0,2.7352,1.3069
17.7327,0,22,13,0,0,0,0,2.7352,2.5323
28.0768,0,23,17,0,0,0,0,2.7352,4.3226
20.6882,0,23,12,0,1,0,0,2.7352,4.3226
14.925,0,26,12,1,0,0,0,2.7352,4.3226
21.1315,0,22,12,0,0,0,0,2.7352,6.1129
29.8501,0,31,14,1,0,0,0,2.7352,7.7242
29.8501,0,31,14,1,0,0,0,2.7352,7.7242
19.3434,0,54,12,1,0,0,0,2.7352,7.8943
10.5214,0,25,16,1,1,0,0,2.7352,8.2613
17.7327,0,28,12,1,1,0,0,2.7352,9.6935
28.8157,0,19,13,1,0,0,0,2.7352,9.6935
26.5991,0,26,17,1,0,0,0,2.7352,5.0645
16.255,0,28,12,1,0,0,0,2.8136,7.1613
14.7773,0,20,12,1,0,0,0,2.9312,2.3632
22.1659,0,26,12,1,0,0,0,2.9312,1.1
36.9432,0,25,17,1,0,0,0,2.9351,2.379
41.5714,0,24,12,1,0,0,0,3.0291,3.9645
13.5951,0,22,12,1,0,0,0,3.1271,8.9516
29.5545,0,27,17,1,0,0,0,3.1271,0.7419
12.6878,0,26,12,1,0,0,0,3.1271,2.1742
11.5263,0,27,12,1,1,0,0,3.1271,2.3532
24.3825,0,19,12,1,0,0,0,3.1271,2.5323
0,0,29,17,1,0,0,0,3.1271,9.6935
17.2894,0,20,12,1,0,0,0,3.2446,8.7726
14.7773,0,25,12,1,0,0,0,3.2917,4.2026
17.7327,0,29,16,1,0,0,0,3.323,5.371
14.7773,0,23,14,0,0,0,0,3.323,2.1742
10.9352,0,28,12,1,0,0,0,3.323,2.5323
14.7773,0,30,14,1,0,0,0,3.323,4.3226
19.9345,0,26,16,1,1,0,0,3.323,9.6935
21.0354,0,24,12,1,0,1,0,3.4935,6.471
12.5607,0,22,12,1,1,0,0,3.5189,3.4274
13.2463,0,27,12,1,0,0,0,3.5973,5.8336
13.2995,0,22,12,1,1,0,0,3.6659,7.9032
33.9877,0,42,13,1,0,0,0,3.7012,0
0.665,0,22,12,1,1,0,0,3.7149,0
12.5607,0,47,12,1,0,0,0,3.7149,0
22.9048,0,26,12,1,0,0,0,3.7149,0.7161
14.0384,0,21,12,1,0,0,0,3.7149,3.2226
0,0,25,16,0,0,0,0,3.7149,6.0423
17.7327,0,25,12,1,1,0,0,3.7149,8.2355
15.9594,0,23,12,0,0,0,0,3.7149,0.7419
9.6052,0,33,12,0,1,0,0,3.7149,1.1
23.5313,0,55,16,1,1,0,0,3.7149,1.9952
14.7773,0,47,12,1,1,0,0,3.7149,2.4338
8.8664,0,20,12,1,1,0,0,3.7149,2.5323
11.8218,0,26,12,1,1,0,0,3.7149,2.5323
14.7773,0,31,12,1,0,0,0,3.7149,2.5323
2.5639,0,30,12,1,0,0,0,3.7149,2.5323
11.6519,0,21,12,0,1,0,0,3.7149,3.3397
6.8271,0,28,17,1,0,0,0,3.7149,3.4274
17.7327,0,24,12,1,0,0,0,3.7149,3.4274
19.2104,0,28,12,1,0,0,0,3.7149,3.6065
22.1659,0,23,12,0,0,0,0,3.7149,4.3226
26.5991,0,35,12,0,0,0,0,3.7149,5.0387
13.4473,0,27,14,1,0,0,0,3.7149,5.2177
24.2052,0,23,12,1,0,0,0,3.7149,5.7548
16.255,0,24,12,1,1,0,0,3.7149,6.1129
16.255,0,24,12,1,0,0,0,3.7149,6.1129
14.6295,0,39,12,1,1,0,0,3.7149,7.0081
26.0819,0,33,12,1,0,0,0,3.7149,8.0823
30.1456,0,45,14,1,0,0,0,3.7149,9.1027
30.1456,0,45,14,1,0,0,0,3.7149,9.1027
25.8602,0,27,12,1,1,0,0,3.7149,9.425
6.6498,0,45,17,1,0,0,0,3.7149,3.0952
31.6233,0,23,16,0,0,0,0,3.7149,5.6016
29.5545,0,26,17,1,0,0,0,3.7149,9.5403
20.6882,0,27,14,0,1,0,0,3.8128,7.0367
0.5911,0,21,14,1,0,0,0,3.8324,8.778
19.6538,0,20,12,1,0,0,0,3.903,4.3226
19.2104,0,29,12,1,0,0,0,3.9108,7.1613
16.218,0,22,12,1,0,1,0,3.9108,8.6115
19.2104,0,24,12,0,0,0,0,3.9108,3.4274
15.0728,0,27,12,1,0,0,0,3.9108,4.8597
14.7773,0,23,12,1,0,0,0,4.0636,1.1
37.8298,0,24,16,1,0,0,0,4.0675,4.7065
2.9555,0,23,16,0,0,0,0,4.1067,6.2661
17.7327,0,33,14,1,0,0,0,4.1067,4.3226
22.1659,0,21,12,0,0,0,0,4.1067,7.9032
0,0,23,12,1,0,0,0,4.1067,3.4532
14.7773,0,20,12,1,1,0,0,4.3222,7.9032
7.3886,0,24,12,1,0,0,0,4.3732,9.6935
14.7773,0,29,12,1,1,0,0,4.3928,5.3968
10.0485,0,34,12,1,0,0,0,4.4986,4.3226
14.5793,0,44,12,1,0,0,0,4.4986,4.4246
19.2104,0,23,12,1,0,0,0,4.4986,9.3355
21.6782,0,26,14,1,1,0,0,4.5064,7.1871
17.7327,0,51,12,1,0,0,0,4.5338,9.246
26.5991,0,41,12,1,0,0,0,4.6847,3.2742
17.7327,0,37,13,1,0,0,0,4.6945,8.9516
20.6882,0,26,16,1,0,0,0,4.6945,1.6371
11.8218,0,24,12,1,1,0,0,4.6945,1.8161
21.3975,0,22,14,1,1,0,0,4.6945,2.5323
14.0798,0,27,12,1,1,0,0,4.6945,3.4274
20.6882,0,23,13,1,0,0,0,4.6945,4.3226
19.2104,0,27,12,1,0,0,0,4.6945,4.3226
19.2104,0,28,12,1,1,0,0,4.6945,4.8597
