re78,treat,age,education,married,black,hispanic,nodegree,re74,re75,u74,u75
81.275,0,44,12,1,0,0,0,0,1.6129,1,0
18.609,0,32,16,1,0,0,0,0.578,6.9106,0,0
5.9109,0,43,12,1,1,0,0,0.7151,1.8798,0,0
10.3441,0,24,12,0,1,0,0,0.7837,0,0,1
2.3053,0,22,13,0,0,0,0,0.7837,0,0,1
0,0,35,15,1,0,0,0,0.9796,0.5371,0,0
3.251,0,26,15,0,0,0,0,0.9796,1.8798,0,0
0,0,29,17,1,0,0,0,0.9796,8.9516,0,0
5.9109,0,23,12,0,1,0,0,1.0776,3.2226,0,0
26.5991,0,19,12,1,0,0,0,1.154,8.5935,0,0
1.1526,0,48,16,1,0,0,0,1.2402,1.4663,0,0
1.1526,0,48,16,1,0,0,0,1.2402,1.4663,0,0
0,0,22,12,1,1,0,0,1.2696,0,0,1
2.9555,0,20,12,0,1,0,0,1.3676,2.5323,0,0
24.8258,0,24,17,1,0,0,0,1.3715,0,0,1
4.3637,0,27,16,1,0,0,0,1.4695,1.2532,0,0
11.0829,0,21,14,0,0,0,0,1.5067,2.6855,0,0
4.7287,0,53,13,1,0,0,0,1.5674,3.9387,0,0
4.7287,0,53,13,1,0,0,0,1.5674,3.9387,0,0
2.9555,0,53,16,1,0,0,0,1.6654,0,0,1
22.1659,0,22,15,1,0,0,0,1.7633,5.371,0,0
4.1376,0,21,15,0,0,0,0,1.7633,9.6677,0,0
1.4777,0,30,12,1,0,0,0,1.9593,1.7903,0,0
1.1526,0,21,12,0,1,0,0,1.9593,5.4605,0,0
21.427,0,27,16,1,0,0,0,1.9593,7.5452,0,0
5.0243,0,22,15,0,0,0,0,1.9671,2.8645,0,0
0,0,22,12,1,1,0,0,2.0063,2.4706,0,0
11.3785,0,23,13,1,0,0,0,2.1552,5.371,0,0
2.7707,0,33,12,1,0,0,0,2.3511,0,0,1
14.7773,0,24,13,0,0,0,0,2.3511,3.1277,0,0
17.7327,0,20,12,0,1,0,0,2.3511,4.4758,0,0
25.8602,0,22,16,0,0,0,0,2.3511,3.2742,0,0
0,0,19,12,1,0,0,0,2.547,0.7419,0,0
25.8602,0,22,15,1,0,0,0,2.547,7.1871,0,0
6.9926,0,43,14,1,0,0,0,2.645,0,0,1
11.8218,0,39,12,1,0,0,0,2.743,7.1613,0,0
0,0,28,12,0,1,0,0,2.9389,2.8645,0,0
0,0,19,14,0,0,0,0,2.9389,3.2226,0,0
23.6436,0,26,17,1,0,0,0,2.9389,2.5323,0,0
20.6882,0,18,12,1,0,0,0,3.1348,1.1,0,0
9.9747,0,23,15,1,0,0,0,3.321,2.5065,0,0
11.8218,0,24,12,0,1,0,0,3.3308,4.6548,0,0
5.9109,0,27,12,1,0,0,0,3.5267,0,0,1
24.3825,0,29,17,1,0,0,0,3.5267,5.2177,0,0
11.8218,0,22,12,0,1,0,0,3.5796,7.1334,0,0
1.0906,0,27,12,1,0,0,0,3.7226,0.2542,0,0
19.2104,0,27,15,1,0,0,0,3.7226,4.6548,0,0
13.2995,0,20,12,0,1,0,0,3.7304,8.9516,0,0
17.7327,0,27,12,1,1,0,0,3.9185,1.9944,0,0
8.8664,0,23,12,1,1,0,0,3.9185,2.8645,0,0
9.753,0,23,12,1,1,0,0,3.9185,1.6371,0,0
39.8986,0,22,12,1,0,0,0,3.9185,5.3968,0,0
24.9736,0,31,12,1,1,0,0,3.9185,8.4403,0,0
9.4575,0,26,17,0,0,0,0,4.1732,1.6371,0,0
4.4332,0,20,12,1,0,0,0,4.3104,0,0,1
22.4762,0,30,17,1,0,0,0,4.3104,4.2968,0,0
16.255,0,42,16,0,0,0,0,4.3986,7.9032,0,0
23.0525,0,21,14,1,0,0,0,4.5063,9.3097,0,0
0,0,25,16,1,0,0,0,4.6043,2.954,0,0
0,0,27,15,1,0,0,0,4.7022,0,0,1
26.5991,0,26,17,1,0,0,0,4.7022,9.6935,0,0
23.6436,0,29,16,1,0,0,0,4.8002,7.1871,0,0
0,0,20,12,0,0,0,0,4.812,0.7161,0,0
0,0,52,12,1,0,0,0,4.8982,0,0,1
33.9877,0,23,17,0,0,0,0,4.8982,2.1484,0,0
17.1416,0,21,14,1,0,0,0,4.8982,7.1613,0,0
17.7327,0,24,16,0,0,0,0,4.8982,8.9516,0,0
5.172,0,30,17,1,0,0,0,4.8982,2.0847,0,0
5.0302,0,25,17,0,0,0,0,4.9961,7.4145,0,0
7.3886,0,21,12,1,0,0,0,5.0941,6.8032,0,0
9.0141,0,28,12,1,0,0,0,5.0941,0.7419,0,0
15.2442,0,20,12,1,0,0,0,5.1823,6.2661,0,0
5.3198,0,36,16,0,0,0,0,5.29,4.8339,0,0
12.1174,0,19,12,0,1,0,0,5.388,8.0565,0,0
10.0485,0,21,12,1,1,0,0,5.868,3.0435,0,0
5.3198,0,47,12,1,0,0,0,5.868,9.5138,0,0
33.9877,0,24,16,1,0,0,0,5.8778,4.8339,0,0
17.7327,0,24,12,1,1,0,0,5.8778,8.9516,0,0
30.1013,0,25,17,1,0,0,0,5.8778,0.5629,0,0
16.9939,0,21,16,1,0,0,0,5.8778,0.5629,0,0
15.9594,0,31,12,1,1,0,0,5.8778,1.0642,0,0
31.0323,0,26,14,1,0,0,0,5.8778,3.4274,0,0
5.7631,0,22,12,0,1,0,0,5.8915,0.3678,0,0
14.7773,0,20,13,0,1,0,0,5.8974,2.5323,0,0
27.3379,0,20,13,1,0,1,0,6.0737,0.0258,0,0
26.008,0,27,14,1,0,0,0,6.2697,0,0,1
10.3441,0,26,12,0,0,0,0,6.2697,1.6371,0,0
0,0,23,17,1,0,0,0,6.3676,5.371,0,0
14.1862,0,23,12,0,1,0,0,6.495,2.5323,0,0
0,0,22,12,0,1,0,0,6.5831,4.4758,0,0
11.2086,0,21,12,0,1,0,0,6.6615,1.4581,0,0
25.1214,0,21,12,1,0,0,0,6.6615,2.5323,0,0
13.7429,0,28,14,1,0,0,0,6.7399,7.8774,0,0
8.2753,0,27,12,1,1,0,0,6.8555,0,0,1
0,0,25,14,0,0,0,0,6.8574,1.7903,0,0
3.251,0,30,12,1,0,0,0,6.8574,3.2226,0,0
24.514,0,27,13,1,1,0,0,6.8574,4.0963,0,0
17.3633,0,22,13,0,0,0,0,6.8574,6.2661,0,0
22.1659,0,23,16,1,0,0,0,6.8574,4.1435,0,0
26.5991,0,24,12,1,1,0,0,6.8574,4.3226,0,0
17.7327,0,19,13,0,0,0,0,6.8574,5.2177,0,0
17.1416,0,21,14,1,0,0,0,6.975,1.4079,0,0
8.8664,0,29,17,1,0,0,0,7.0534,7.1613,0,0
25.1214,0,27,16,1,0,0,0,7.0534,1.6371,0,0
9.1619,0,28,15,1,0,0,0,7.2493,5.2177,0,0
2.9555,0,26,12,1,0,0,0,7.406,0,0,1
0,0,54,12,1,0,0,0,7.4452,0,0,1
12.7084,0,28,15,0,1,0,0,7.4452,0,0,1
18.4716,0,27,15,1,0,0,0,7.4452,0.7419,0,0
9.6052,0,26,13,0,0,0,0,7.4491,5.729,0,0
0,0,21,12,1,0,0,0,7.5236,7.9347,0,0
8.1275,0,53,14,1,1,0,0,7.6411,8.4217,0,0
11.0829,0,21,13,1,0,0,0,7.6882,2.7435,0,0
16.255,0,22,13,0,0,0,0,7.7391,3.7597,0,0
0,0,27,16,0,0,0,0,7.8371,0,0,1
11.8218,0,37,15,1,0,1,0,7.8371,0.179,0,0
16.255,0,33,13,0,0,0,0,7.8371,3.5806,0,0
3.6943,0,19,12,0,1,0,0,7.8371,3.7597,0,0
15.6639,0,28,12,1,0,0,0,7.8371,4.4758,0,0
8.8664,0,32,12,1,1,0,0,7.8371,5.371,0,0
5.9109,0,24,12,0,0,0,0,7.8371,5.371,0,0
17.7327,0,22,12,0,0,0,0,7.8371,7.4979,0,0
20.6882,0,20,12,1,1,0,0,7.8371,8.9516,0,0
12.0582,0,23,12,1,0,0,0,7.8371,8.9516,0,0
2.2107,0,27,12,1,1,0,0,7.8371,8.9516,0,0
21.8704,0,23,12,1,1,0,0,7.8371,2.5323,0,0
13.2995,0,19,12,1,0,1,0,7.8371,2.5323,0,0
16.255,0,27,14,0,0,0,0,7.8371,4.3226,0,0
16.255,0,22,16,1,0,0,0,7.8371,6.1129,0,0
15.5161,0,42,12,1,0,0,0,7.8371,6.1129,0,0
2.2166,0,20,13,0,0,0,0,7.8371,7.4915,0,0
0,0,29,13,0,0,0,0,7.9585,0,0,1
4.4332,0,23,12,1,1,0,0,7.9938,3.4274,0,0
11.9637,0,19,12,1,0,0,0,8.0545,9.3097,0,0
10.5835,0,21,12,1,1,0,0,8.1505,3.0926,0,0
11.9696,0,26,12,1,0,0,0,8.2289,3.6065,0,0
27.3379,0,21,16,0,0,0,0,8.2289,2.379,0,0
8.3359,0,24,12,1,1,0,0,8.2759,5.4165,0,0
14.4817,0,29,12,1,0,0,0,8.3896,5.9081,0,0
10.3441,0,26,12,1,1,0,0,8.6169,8.5935,0,0
13.004,0,23,14,1,1,0,0,8.6756,0.3982,0,0
15.8117,0,25,12,0,0,0,0,8.6835,9.1306,0,0
18.0962,0,21,12,1,0,0,0,8.8167,5.729,0,0
10.3441,0,25,12,0,1,0,0,8.8167,6.2661,0,0
15.4866,0,22,12,1,0,0,0,8.8167,9.9399,0,0
19.6538,0,22,12,1,0,0,0,8.8167,0.7419,0,0
18.4716,0,23,12,1,1,0,0,8.8167,2.1742,0,0
22.1659,0,18,12,0,0,0,0,8.8167,4.3226,0,0
19.2104,0,27,12,0,1,0,0,8.8167,4.3226,0,0
5.5784,0,21,12,0,1,0,0,8.8167,4.8597,0,0
26.5991,0,25,12,1,0,0,0,8.8167,6.1129,0,0
28.2246,0,21,13,1,0,0,0,8.8167,7.9032,0,0
0,0,27,12,1,0,0,0,8.8167,4.7581,0,0
10.4165,0,23,12,1,0,0,0,8.8402,7.1613,0,0
17.7327,0,21,12,1,0,0,0,8.8676,4.9957,0,0
8.8664,0,23,14,1,1,0,0,8.9343,2.5323,0,0
19.2104,0,23,16,0,1,0,0,9.0126,6.4907,0,0
39.8173,0,31,17,1,0,0,0,9.0126,9.4651,0,0
6.6498,0,27,12,1,1,0,0,9.0675,5.371,0,0
7.3886,0,21,12,1,1,0,0,9.1694,7.1613,0,0
10.4032,0,23,12,1,1,0,0,9.1694,8.2713,0,0
11.5263,0,19,12,1,0,0,0,9.2086,5.55,0,0
10.3766,0,46,12,1,0,0,0,9.285,8.504,0,0
2.2166,0,24,12,1,0,0,0,9.3712,2.8645,0,0
8.2753,0,20,13,0,0,1,0,9.4045,0,0,1
22.9048,0,24,17,1,0,0,0,9.4045,5.371,0,0
11.8218,0,23,12,1,0,0,0,9.4045,9.1306,0,0
23.4752,0,34,12,1,0,0,0,9.4045,9.1665,0,0
11.8218,0,35,12,1,0,0,0,9.4045,9.3133,0,0
16.8461,0,23,12,0,0,0,0,9.4045,1.834,0,0
9.9008,0,21,14,0,1,0,0,9.4202,5.371,0,0
10.5125,0,21,12,1,0,1,0,9.4966,8.7726,0,0
13.2995,0,26,12,1,0,0,0,9.5612,0,0,1
23.6436,0,23,13,1,0,0,0,9.6984,8.5935,0,0
14.0384,0,27,12,1,0,1,0,9.6984,1.279,0,0
13.2995,0,50,12,1,0,1,0,9.7885,9.8468,0,0
11.8218,0,27,12,1,1,0,0,9.7963,0,0,1
25.1214,0,25,12,1,0,0,0,9.7963,2.6855,0,0
14.7773,0,21,12,1,1,0,0,9.7963,4.2968,0,0
28.7876,0,21,13,1,0,0,0,9.7963,8.5935,0,0
0,0,33,12,0,1,0,0,9.7963,8.9516,0,0
20.6882,0,19,12,1,0,0,0,9.7963,9.8468,0,0
29.259,0,20,12,1,0,0,0,9.7963,0.2048,0,0
11.1627,0,22,12,1,1,0,0,9.7963,0.7419,0,0
11.8218,0,32,12,1,0,0,0,9.7963,1.4581,0,0
11.5263,0,24,13,1,0,0,0,9.7963,1.4581,0,0
19.2104,0,29,12,1,1,0,0,9.7963,2.5323,0,0
11.8218,0,23,12,1,1,0,0,9.7963,2.5323,0,0
20.6882,0,26,14,1,0,0,0,9.7963,3.4274,0,0
10.7135,0,20,12,1,0,0,0,9.7963,3.4274,0,0
11.8218,0,27,12,1,1,0,0,9.7963,4.3226,0,0
33.9877,0,24,12,1,1,0,0,9.7963,4.3226,0,0
36.9432,0,24,17,0,0,0,0,9.7963,6.1129,0,0
20.6882,0,21,13,0,0,0,0,9.7963,6.1129,0,0
6.6498,0,25,12,1,1,0,0,9.7963,1.4839,0,0
29.5545,0,30,12,1,1,0,0,9.7963,5.0645,0,0
15.6196,0,26,12,0,1,0,0,9.9139,0.7419,0,0
14.7773,0,22,12,0,0,0,0,9.9511,4.3226,0,0
11.2839,0,47,12,1,0,0,0,9.9687,0.5235,0,0
19.9493,0,22,12,0,0,0,0,9.9923,5.7548,0,0
9.6052,0,31,12,1,1,0,0,0.1882,8.9516,0,0
11.8218,0,35,12,1,0,0,0,0.1882,9.3097,0,0
6.5375,0,49,12,1,0,0,0,0.2313,1.0821,0,0
12.4868,0,25,13,0,1,0,0,0.247,5.3968,0,0
9.221,0,23,12,1,0,0,0,0.2901,0.5629,0,0
49.43,0,25,17,1,0,0,0,0.3841,2.0049,0,0
11.8218,0,23,16,1,0,0,0,0.3841,6.8548,0,0
5.9109,0,34,17,0,0,0,0,0.58,7.1613,0,0
12.1174,0,21,12,1,0,0,0,0.58,8.0565,0,0
8.8664,0,27,12,0,1,0,0,0.6231,3.2226,0,0
11.8218,0,23,12,1,0,0,0,0.776,5.371,0,0
16.9939,0,23,12,1,0,0,0,0.776,7.1613,0,0
0,0,32,17,0,0,0,0,0.776,7.1613,0,0
7.5364,0,27,12,1,1,0,0,0.776,8.9516,0,0
8.2753,0,24,12,0,1,0,0,0.776,9.3097,0,0
14.1862,0,34,12,1,0,0,0,0.776,1.6371,0,0
25.8602,0,29,12,1,0,0,0,0.776,2.5323,0,0
0,0,28,14,1,0,0,0,0.776,3.4274,0,0
21.427,0,18,12,0,0,0,0,0.776,4.3226,0,0
29.5545,0,20,12,0,1,0,0,0.776,6.3725,0,0
18.9666,0,25,13,1,0,0,0,0.776,6.7395,0,0
29.392,0,23,12,1,1,0,0,0.776,0.4813,0,0
35.4654,0,26,17,1,0,0,0,0.776,9.1823,0,0
20.1325,0,24,12,0,0,0,0,0.8739,5.7548,0,0
31.0323,0,23,12,1,0,0,0,0.9719,0.2048,0,0
20.9246,0,23,16,0,0,0,0,0.9719,8.7984,0,0
8.8664,0,26,12,1,1,0,0,1.1678,1.0742,0,0
17.7327,0,46,12,1,0,0,0,1.1678,7.1613,0,0
14.7773,0,23,12,1,1,0,0,1.1678,7.813,0,0
12.4129,0,41,12,1,0,0,0,1.1678,0.7419,0,0
24.3382,0,19,12,1,0,0,0,1.2011,4.1435,0,0
26.5991,0,29,12,1,0,0,0,1.2599,9.0411,0,0
10.3441,0,24,12,0,1,0,0,1.2854,3.0694,0,0
29.2161,0,23,12,0,1,0,0,1.3285,2.6855,0,0
13.2995,0,22,12,1,0,0,0,1.3637,4.6548,0,0
13.2995,0,21,12,0,0,0,0,1.3637,9.6677,0,0
4.1376,0,27,12,1,0,0,0,1.3637,2.5323,0,0
8.8664,0,37,12,1,0,0,0,1.4304,1.3721,0,0
27.7813,0,44,12,1,0,0,0,1.5597,7.3403,0,0
17.7327,0,38,16,1,0,0,0,1.5597,7.8774,0,0
11.8218,0,34,12,1,0,0,0,1.7556,0,0,1
0,0,49,12,0,0,0,0,1.7556,0,0,1
17.7327,0,23,12,1,0,0,0,1.7556,0,0,1
25.875,0,28,14,1,1,0,0,1.7556,0,0,1
0.2955,0,43,12,1,0,0,0,1.7556,0,0,1
0,0,28,16,0,0,0,0,1.7556,6.4452,0,0
20.6882,0,29,12,1,1,0,0,1.7556,9.8468,0,0
5.172,0,53,12,1,0,0,0,1.7556,9.8933,0,0
12.5607,0,21,12,1,0,0,0,1.7556,0.2048,0,0
31.0973,0,24,13,1,1,0,0,1.7556,0.7419,0,0
6.6498,0,21,12,1,0,0,0,1.7556,0.7419,0,0
13.7429,0,24,12,1,0,0,0,1.7556,1.0749,0,0
10.0485,0,21,12,0,0,0,0,1.7556,1.6371,0,0
25.1214,0,23,14,1,0,0,0,1.7556,1.6371,0,0
0,0,28,12,1,0,0,0,1.7556,2.5323,0,0
0,0,28,12,1,0,0,0,1.7556,2.5323,0,0
28.9634,0,25,17,1,0,0,0,1.7556,2.6218,0,0
16.255,0,23,13,1,0,0,0,1.7556,3.4274,0,0
26.5991,0,30,12,1,0,0,0,1.7556,3.6351,0,0
14.1862,0,23,12,1,0,0,0,1.7556,3.7855,0,0
20.6882,0,26,12,1,0,0,0,1.7556,4.3226,0,0
16.255,0,21,12,1,1,0,0,1.7556,4.3226,0,0
17.7327,0,26,12,1,0,0,0,1.7556,4.3226,0,0
21.427,0,25,12,1,1,0,0,1.7556,4.3226,0,0
18.1022,0,22,12,1,0,0,0,1.7556,4.4658,0,0
20.6882,0,28,16,1,0,0,0,1.7556,5.2177,0,0
0,0,22,13,1,1,0,0,1.7556,5.2177,0,0
31.0323,0,24,16,1,0,0,0,1.7556,6.1129,0,0
18.442,0,27,15,0,1,0,0,1.7556,6.7449,0,0
16.255,0,19,12,0,0,0,0,1.7556,9.3355,0,0
0,0,38,14,1,0,0,0,1.7556,9.6935,0,0
7.3886,0,38,14,0,0,0,0,1.7556,1.4839,0,0
16.8224,0,45,12,1,0,0,0,1.7713,1.2701,0,0
16.3422,0,26,12,1,1,0,0,1.7752,4.1507,0,0
5.3907,0,31,16,1,0,0,0,1.785,9.8468,0,0
12.6567,0,25,13,1,1,0,0,1.9319,3.8249,0,0
14.7773,0,25,14,1,0,0,0,1.9731,4.3226,0,0
13.1518,0,22,12,1,0,0,0,2.0515,6.0252,0,0
13.2995,0,36,12,1,0,0,0,2.1475,3.9645,0,0
20.1429,0,27,12,1,0,0,0,2.1475,4.3226,0,0
24.3825,0,33,12,1,0,0,0,2.1475,6.1129,0,0
26.5991,0,27,12,1,0,0,0,2.1475,3.2742,0,0
18.9622,0,30,12,1,1,0,0,2.2258,0.7419,0,0
11.2307,0,46,12,1,0,0,0,2.3434,1.6371,0,0
14.1862,0,23,14,1,0,0,0,2.3434,2.5323,0,0
21.427,0,25,16,1,0,0,0,2.3434,3.6065,0,0
25.179,0,27,14,1,0,0,0,2.4198,6.829,0,0
12.5607,0,49,16,1,0,0,0,2.504,2.3532,0,0
14.3694,0,22,12,1,0,0,0,2.5393,2.5323,0,0
23.4959,0,28,16,1,0,0,0,2.5726,1.4839,0,0
19.2104,0,24,12,1,1,0,0,2.6588,9.6935,0,0
4.2366,0,37,17,1,1,0,0,2.7352,1.3069,0,0
17.7327,0,22,13,0,0,0,0,2.7352,2.5323,0,0
28.0768,0,23,17,0,0,0,0,2.7352,4.3226,0,0
20.6882,0,23,12,0,1,0,0,2.7352,4.3226,0,0
14.925,0,26,12,1,0,0,0,2.7352,4.3226,0,0
21.1315,0,22,12,0,0,0,0,2.7352,6.1129,0,0
29.8501,0,31,14,1,0,0,0,2.7352,7.7242,0,0
29.8501,0,31,14,1,0,0,0,2.7352,7.7242,0,0
19.3434,0,54,12,1,0,0,0,2.7352,7.8943,0,0
10.5214,0,25,16,1,1,0,0,2.7352,8.2613,0,0
17.7327,0,28,12,1,1,0,0,2.7352,9.6935,0,0
28.8157,0,19,13,1,0,0,0,2.7352,9.6935,0,0
26.5991,0,26,17,1,0,0,0,2.7352,5.0645,0,0
16.255,0,28,12,1,0,0,0,2.8136,7.1613,0,0
14.7773,0,20,12,1,0,0,0,2.9312,2.3632,0,0
22.1659,0,26,12,1,0,0,0,2.9312,1.1,0,0
36.9432,0,25,17,1,0,0,0,2.9351,2.379,0,0
41.5714,0,24,12,1,0,0,0,3.0291,3.9645,0,0
13.5951,0,22,12,1,0,0,0,3.1271,8.9516,0,0
29.5545,0,27,17,1,0,0,0,3.1271,0.7419,0,0
12.6878,0,26,12,1,0,0,0,3.1271,2.1742,0,0
11.5263,0,27,12,1,1,0,0,3.1271,2.3532,0,0
24.3825,0,19,12,1,0,0,0,3.1271,2.5323,0,0
0,0,29,17,1,0,0,0,3.1271,9.6935,0,0
17.2894,0,20,12,1,0,0,0,3.2446,8.7726,0,0
14.7773,0,25,12,1,0,0,0,3.2917,4.2026,0,0
17.7327,0,29,16,1,0,0,0,3.323,5.371,0,0
14.7773,0,23,14,0,0,0,0,3.323,2.1742,0,0
10.9352,0,28,12,1,0,0,0,3.323,2.5323,0,0
14.7773,0,30,14,1,0,0,0,3.323,4.3226,0,0
19.9345,0,26,16,1,1,0,0,3.323,9.6935,0,0
21.0354,0,24,12,1,0,1,0,3.4935,6.471,0,0
12.5607,0,22,12,1,1,0,0,3.5189,3.4274,0,0
13.2463,0,27,12,1,0,0,0,3.5973,5.8336,0,0
