state,year,urate,children,nonwhite,finc,earn,age,ed,work,unearn
91,1993,7.6,0,0,5331.4879,0,38,3,0,5.3314879
92,1993,7.3,0,0,57791.107,7775.0865,21,11,1,50.016021
93,1993,9.4,3,1,32455.433,32438.772,33,11,1,.0166609
94,1993,7.7,0,0,2110.3806,0,21,10,0,2.1103806
95,1993,4.3,1,0,1602.7785,266.57439,38,3,1,1.3362042
11,1994,7.4,1,0,6164.413,1262.7733,38,9,1,4.9016397
12,1994,4.6,4,0,9396.0729,0,30,11,0,9.3960729
13,1994,4.7,1,0,2393.4211,2274.2915,31,9,1,.11912955
14,1994,6,1,1,0,0,30,7,0,0
15,1994,7.1,2,0,17111.336,8663.9676,36,11,1,8.4473684
16,1994,5.6,0,0,12021.255,12021.255,54,11,1,0
21,1994,6.9,1,1,9630,0,48,7,0,9.63
22,1994,6.8,0,1,25377.844,24908.907,52,7,1,.46893725
23,1994,6.2,3,0,7041.6397,0,32,11,0,7.0416397
31,1994,5.5,4,1,7004.8178,0,40,11,0,7.0048178
32,1994,4.9,2,0,8756.0223,7331.8826,47,7,1,1.4241397
33,1994,5.7,3,1,5380.3239,0,25,11,0,5.3803239
34,1994,5.9,0,1,5978.1377,0,52,10,0,5.9781377
35,1994,4.7,0,1,4378.5526,4331.9838,21,11,1,.04656883
41,1994,4,1,0,0,0,28,9,0,0
42,1994,3.7,1,0,20771.862,216.59919,54,10,1,20.555263
43,1994,4.9,1,0,7719.5951,0,24,10,0,7.7195951
44,1994,3.9,2,0,1646.1538,1646.1538,21,10,0,0
45,1994,3.3,2,0,7901.5385,541.49798,46,10,0,7.3600405
46,1994,2.9,0,0,16343.492,10015.547,45,7,0,6.3279453
47,1994,5.3,0,0,0,0,25,0,0,0
51,1994,4.9,0,1,65662.045,59239.879,48,9,1,6.422166
52,1994,5.1,3,1,38289.322,38289.322,22,11,1,0
53,1994,8.2,2,1,6666.9231,0,23,10,0,6.6669231
54,1994,4.9,2,1,25991.903,25991.903,46,10,1,0
55,1994,8.9,1,0,7576.6397,0,46,7,0,7.5766397
56,1994,4.4,0,0,49817.814,49817.814,45,11,1,0
57,1994,6.3,2,0,19493.927,19493.927,27,11,1,0
58,1994,5.2,1,1,74163.563,74163.563,39,11,1,0
59,1994,6.6,5,1,5497.2874,0,20,11,0,5.4972874
61,1994,5.4,1,0,9255.2834,9255.2834,48,9,1,0
62,1994,4.8,0,1,7902.6215,0,42,11,0,7.9026215
63,1994,6,0,1,17327.935,17327.935,43,11,0,0
64,1994,6.6,0,0,3790.4858,3790.4858,35,11,1,0
71,1994,5.3,0,0,3898.7854,3898.7854,33,10,1,0
72,1994,8,1,0,24568.846,4548.583,20,11,1,20.020263
73,1994,5.8,1,0,6653.9271,0,43,7,0,6.6539271
74,1994,6.4,1,1,2577.5304,0,50,9,0,2.5775304
81,1994,5.1,2,0,7676.2753,3465.587,32,10,1,4.2106883
82,1994,5.6,1,0,14078.947,14078.947,35,10,1,0
83,1994,5.3,1,1,4316.8219,0,23,9,0,4.3168219
84,1994,4.2,2,0,18957.844,15161.943,28,11,1,3.7959008
85,1994,6.3,0,0,0,0,28,11,0,0
86,1994,6.4,2,1,6349.6053,324.89879,21,10,1,6.0247065
87,1994,3.7,0,1,14283.634,0,47,9,0,14.283634
88,1994,6.2,3,1,11351.964,11351.964,30,9,1,0
91,1994,6.4,2,0,10266.802,3248.9879,30,11,1,7.0178138
92,1994,5.4,0,0,7797.5709,0,54,11,0,7.7975709
93,1994,8.6,1,1,10851.619,10829.96,38,7,1,.02165992
94,1994,7.8,0,0,62034.008,60073.785,48,9,1,1.9602227
95,1994,6.1,3,0,7473.7551,0,26,11,0,7.4737551
11,1995,5.7,2,0,8795.9055,0,23,9,0,8.7959055
12,1995,4,1,0,15797.244,15797.244,38,7,1,0
13,1995,4.2,3,0,13623.543,2422.2441,37,10,1,11.201299
14,1995,5.4,0,0,75133.799,63989.37,25,0,0,11.144429
15,1995,7,1,0,0,0,20,10,0,0
16,1995,5.5,1,1,15797.244,15797.244,42,7,1,0
21,1995,6.3,3,1,13324.449,0,21,9,0,13.324449
22,1995,6.4,1,1,26350.856,26328.74,44,7,1,.02211614
23,1995,5.9,0,1,7898.622,7898.622,41,7,1,0
31,1995,4.8,2,0,56684.724,50656.496,46,10,0,6.0282283
32,1995,4.7,0,0,81946.624,75826.772,22,11,1,6.1198524
33,1995,5.2,1,0,22442.618,21062.992,31,11,1,1.379626
34,1995,5.3,0,0,5802.8543,0,47,11,0,5.8028543
35,1995,3.7,2,1,8151.378,985.74803,35,11,1,7.1656299
41,1995,3.7,0,0,30175.896,12058.563,37,11,1,18.117333
42,1995,3.5,0,1,13706.742,13690.945,21,9,1,.01579724
43,1995,4.8,0,0,17561.27,17376.969,54,11,1,.18430118
44,1995,3.3,1,0,1174.2618,0,22,10,0,1.1742618
45,1995,2.9,5,0,10080.748,8425.1969,37,7,1,1.6555512
46,1995,2.6,2,0,54601.594,54131.89,21,10,1,.46970472
47,1995,4.4,0,0,27381.89,27381.89,51,11,1,0
51,1995,4.3,3,0,3822.9331,0,33,11,0,3.8229331
52,1995,5.1,0,0,18485.935,18485.935,29,7,1,0
53,1995,8.9,1,1,4170.4724,0,25,10,0,4.1704724
54,1995,4.5,2,1,17364.331,0,34,11,0,17.364331
55,1995,7.9,0,0,18106.801,10952.756,49,7,1,7.1540453
56,1995,4.3,0,1,5742.8248,0,40,10,0,5.7428248
57,1995,5.1,2,1,9130.8071,0,29,10,0,9.1308071
58,1995,4.9,0,1,46801.969,40862.205,20,11,0,5.9397638
59,1995,5.5,0,1,63188.976,63188.976,45,0,1,0
61,1995,5.4,0,0,6192.5197,0,36,7,0,6.1925197
62,1995,5.2,0,0,6040.8661,0,54,11,0,6.0408661
63,1995,6.3,0,0,0,0,48,11,0,0
64,1995,6.1,0,1,14423.937,11584.646,52,11,1,2.8392913
71,1995,4.9,0,0,10110.236,10110.236,38,3,1,0
72,1995,6.9,1,0,1352.2441,0,21,11,0,1.3522441
73,1995,4.7,0,0,5371.063,5371.063,22,11,1,0
74,1995,6,2,0,42378.74,41072.835,24,7,0,1.3059055
81,1995,5.9,1,0,4246.2992,0,22,10,0,4.2462992
82,1995,5.4,0,0,6192.5197,0,37,11,0,6.1925197
83,1995,4.8,1,0,21830.738,20009.843,37,9,1,1.8208957
84,1995,4.2,3,1,5149.9016,94.783465,20,11,1,5.0551181
85,1995,6.3,0,0,21070.364,15375.984,20,11,0,5.6943799
86,1995,5.1,0,1,12253.396,8778.002,52,9,1,3.4753937
87,1995,3.6,0,1,32437.008,31859.882,26,10,1,.57712598
88,1995,5.4,1,1,16850.394,16850.394,27,10,1,0
91,1995,6.4,1,0,37755.413,32647.638,27,11,1,5.1077756
92,1995,4.8,2,0,5402.6575,0,21,11,0,5.4026575
93,1995,7.8,1,1,15007.382,15007.382,50,3,1,0
94,1995,7.3,1,0,0,0,24,7,0,0
95,1995,5.9,1,0,7013.9764,0,26,10,0,7.0139764
11,1996,5.1,0,0,8224.4742,0,53,0,0,8.2244742
12,1996,4.2,0,0,11288.193,0,54,7,0,11.288193
13,1996,4.6,0,0,2520.5354,2455.0669,30,9,1,.06546845
14,1996,4.3,2,1,10745.01,10745.01,32,7,1,0
15,1996,5.1,1,1,7553.4226,7553.4226,30,7,1,0
16,1996,5.7,1,1,16444.857,10638.623,39,7,1,5.8062333
21,1996,6.2,0,1,10587.476,3068.8337,24,9,0,7.5186424
22,1996,6.2,0,1,10865.717,7160.6119,40,11,1,3.7051052
23,1996,5.3,0,0,5388.8719,0,47,11,0,5.3888719
31,1996,4.9,0,0,0,0,20,7,0,0
32,1996,4.1,2,0,0,0,34,10,0,0
33,1996,5.3,0,0,4910.1338,0,24,11,0,4.9101338
34,1996,4.9,0,0,10229.446,10229.446,45,11,1,0
35,1996,3.5,0,0,8328.8145,8183.5564,42,10,1,.14525813
41,1996,4,1,0,6837.3614,0,34,11,0,6.8373614
42,1996,3.8,0,0,3682.6004,0,46,7,0,3.6826004
43,1996,4.6,0,1,59379.885,50124.283,47,0,0,9.2556023
44,1996,3.1,0,0,25573.614,0,53,9,0,25.573614
45,1996,3.2,2,0,3944.4742,225.0478,28,10,1,3.7194264
46,1996,2.9,2,1,26391.969,26391.969,49,3,1,0
47,1996,4.5,0,0,9411.0899,9411.0899,52,11,1,0
51,1996,5.2,0,1,9040.7839,0,26,11,0,9.0407839
52,1996,4.9,0,1,491.01338,491.01338,28,0,1,0
53,1996,8.5,0,1,11366.96,0,47,10,0,11.36696
54,1996,4.4,0,1,12177.132,2761.9503,23,10,1,9.4151816
55,1996,7.5,0,0,5941.262,0,52,7,0,5.941262
56,1996,4.3,2,0,4296.3671,4296.3671,33,11,1,0
57,1996,6,0,0,38794.149,36744.168,54,7,1,2.0499809
58,1996,4.6,2,1,12070.746,12070.746,23,0,1,0
59,1996,5.1,0,1,32511.224,0,53,11,0,32.511224
61,1996,5.6,0,0,28591.3,11252.39,38,10,0,17.33891
62,1996,5.2,1,0,6935.5641,0,37,9,0,6.9355641
63,1996,5.1,1,0,5626.195,5626.195,25,9,1,0
64,1996,6.1,3,1,2667.8394,0,32,11,0,2.6678394
71,1996,5.4,0,0,8304.2639,0,51,7,0,8.3042639
72,1996,6.7,0,0,11808.872,0,29,9,0,11.808872
73,1996,4.1,0,0,6837.3614,0,39,0,0,6.8373614
74,1996,5.6,2,1,3011.5488,703.78585,21,11,1,2.3077629
81,1996,5.3,0,0,1227.5335,1227.5335,20,11,1,0
82,1996,5.2,1,1,37480.688,37480.688,52,7,1,0
83,1996,5,0,0,0,0,38,7,0,0
84,1996,4.2,1,1,0,0,33,7,0,0
85,1996,8.1,3,1,4091.7782,4091.7782,42,7,1,0
86,1996,5.5,0,1,25111.243,20458.891,53,9,1,4.6523518
87,1996,3.5,3,1,10229.446,10229.446,28,7,1,0
88,1996,5.4,0,0,19039.044,15344.168,23,0,0,3.6948757
91,1996,6.5,0,0,73652.008,73652.008,20,11,0,0
92,1996,5.9,4,0,13093.69,12684.512,36,9,1,.40917782
93,1996,7.2,1,1,7723.2314,358.03059,37,11,0,7.3652008
94,1996,7.8,1,1,5114.7228,5114.7228,35,11,1,0
95,1996,6.4,5,0,12561.759,1309.369,36,10,1,11.25239
11,1991,7.6,0,0,31227.974,14730.176,48,11,1,16.497797
11,1991,7.6,0,0,8248.8987,8248.8987,20,10,1,0
11,1991,7.6,0,0,16761.762,0,44,7,0,16.761762
11,1991,7.6,3,0,8046.2115,0,27,10,0,8.0462115
11,1991,7.6,0,0,17482.952,0,48,7,0,17.482952
11,1991,7.6,1,0,4765.5066,0,25,9,0,4.7655066
11,1991,7.6,2,0,6405.859,0,31,10,0,6.405859
11,1991,7.6,1,0,7499.4273,0,27,10,0,7.4994273
11,1991,7.6,0,0,54330.782,17676.211,44,11,0,36.65457
11,1991,7.6,0,0,7183.6123,0,44,7,0,7.1836123
11,1991,7.6,0,0,9630,0,53,7,0,9.63
11,1991,7.6,0,0,6143.0727,589.20705,36,7,1,5.5538656
11,1991,7.6,1,1,7424.0088,2121.1454,21,9,1,5.3028634
11,1991,7.6,3,0,6405.859,0,24,11,0,6.405859
11,1991,7.6,0,0,32382.819,31581.498,50,11,1,.80132159
11,1991,7.6,1,0,20452.555,0,48,9,0,20.452555
11,1991,7.6,3,0,7970.793,7970.793,39,10,1,0
12,1991,7.2,1,0,6740.5286,6740.5286,53,7,1,0
12,1991,7.2,0,0,2710.3524,0,37,7,0,2.7103524
12,1991,7.2,3,0,8060.3524,0,31,11,0,8.0603524
12,1991,7.2,3,0,20612.819,16497.797,22,10,0,4.115022
12,1991,7.2,3,0,20612.819,16497.797,47,7,1,4.115022
12,1991,7.2,0,0,12962.555,12962.555,42,11,1,0
12,1991,7.2,2,0,22272.026,21329.295,27,11,1,.94273128
12,1991,7.2,2,0,2432.2467,0,29,7,0,2.4322467
12,1991,7.2,1,0,3690.793,0,37,7,0,3.690793
12,1991,7.2,1,0,50282.93,19886.916,50,10,1,30.396013
12,1991,7.2,0,0,18656.652,18618.943,37,7,1,.03770925
12,1991,7.2,0,0,46853.744,41861.982,39,11,1,4.9917621
12,1991,7.2,1,0,30.638767,30.638767,26,10,1,0
12,1991,7.2,2,0,7607.8414,0,26,7,0,7.6078414
12,1991,7.2,0,0,8931.2004,2356.8282,44,7,1,6.5743722
12,1991,7.2,0,0,11784.141,11784.141,51,7,1,0
13,1991,6.4,0,0,0,0,41,7,0,0
13,1991,6.4,0,0,13521.123,13514.053,45,7,1,.00707048
13,1991,6.4,3,0,10648.15,0,32,11,0,10.64815
13,1991,6.4,0,0,25617.544,25612.83,29,7,1,.00471366
13,1991,6.4,1,0,12888.315,2828.1938,34,7,1,10.060121
13,1991,6.4,0,0,5656.3877,0,53,7,0,5.6563877
13,1991,6.4,0,0,12374.526,12373.348,22,11,1,.00117841
13,1991,6.4,1,0,43247.797,43247.797,21,10,1,0
13,1991,6.4,0,0,9726.63,0,42,7,0,9.72663
13,1991,6.4,1,0,4327.1366,600.99119,50,11,0,3.7261454
13,1991,6.4,2,0,7570.1322,188.54626,27,10,1,7.3815859
13,1991,6.4,0,0,7960.1872,0,50,11,0,7.9601872
13,1991,6.4,2,0,8248.8987,8248.8987,45,10,1,0
13,1991,6.4,3,0,10676.432,0,35,7,0,10.676432
13,1991,6.4,0,1,0,0,23,10,0,0
14,1991,9.1,1,0,24571.112,21737.026,30,7,1,2.8340859
14,1991,9.1,0,1,23568.282,23568.282,38,7,1,0
14,1991,9.1,0,0,25925.11,25925.11,47,11,1,0
14,1991,9.1,2,0,6634.4714,0,21,10,0,6.6344714
14,1991,9.1,0,0,24459.163,0,37,7,0,24.459163
14,1991,9.1,0,1,10397.148,0,40,10,0,10.397148
14,1991,9.1,1,0,60216.96,60099.119,52,7,1,.11784141
14,1991,9.1,0,1,5472.5551,0,46,9,0,5.4725551
14,1991,9.1,2,1,28355,27598.458,50,0,1,.75654185
14,1991,9.1,1,0,8116.9163,0,42,9,0,8.1169163
14,1991,9.1,3,0,942.73128,0,30,10,0,.94273128
14,1991,9.1,0,1,6410.5727,4148.0176,36,10,1,2.2625551
14,1991,9.1,0,0,20421.916,0,52,0,0,20.421916
14,1991,9.1,1,1,6306.8722,0,21,7,0,6.3068722
14,1991,9.1,0,1,5892.0705,5892.0705,42,7,1,0
14,1991,9.1,1,1,14848.018,14848.018,36,11,1,0
14,1991,9.1,2,1,13437.456,0,21,9,0,13.437456
14,1991,9.1,2,1,5995.7709,0,34,11,0,5.9957709
14,1991,9.1,2,0,0,0,23,11,0,0
14,1991,9.1,1,0,9427.3128,9427.3128,47,3,1,0
14,1991,9.1,0,1,7353.304,0,35,3,0,7.353304
14,1991,9.1,0,1,12927.203,0,46,11,0,12.927203
14,1991,9.1,0,0,21217.346,21211.454,54,7,1,.00589207
14,1991,9.1,2,0,8908.8106,0,39,10,0,8.9088106
14,1991,9.1,3,0,24982.379,18854.626,30,10,1,6.1277533
14,1991,9.1,3,1,8939.4493,0,24,11,0,8.9394493
14,1991,9.1,1,0,14140.969,14140.969,40,9,1,0
14,1991,9.1,0,1,4987.0485,4574.6035,31,9,1,.41244493
14,1991,9.1,2,0,7424.0088,2474.6696,25,9,1,4.9493392
14,1991,9.1,1,0,7935.4405,0,34,11,0,7.9354405
14,1991,9.1,0,0,40223.987,35616.388,28,9,1,4.6075991
14,1991,9.1,1,0,41227.996,26867.841,26,10,1,14.360154
14,1991,9.1,3,0,11095.947,0,29,11,0,11.095947
14,1991,9.1,0,1,2710.3524,0,40,7,0,2.7103524
14,1991,9.1,0,1,14848.018,10605.727,51,10,0,4.2422907
14,1991,9.1,0,0,3464.5374,1696.9163,46,9,0,1.7676211
14,1991,9.1,0,0,40223.987,35616.388,26,9,1,4.6075991
14,1991,9.1,0,0,13433.921,7070.4846,40,9,1,6.3634361
14,1991,9.1,3,1,8880.5286,0,34,11,0,8.8805286
14,1991,9.1,0,0,46012.357,36619.218,22,10,0,9.3931388
14,1991,9.1,1,0,5538.5463,5538.5463,22,10,1,0
14,1991,9.1,0,0,631.62996,0,45,7,0,.63162996
14,1991,9.1,0,0,4713.6564,0,38,10,0,4.7136564
14,1991,9.1,0,0,12962.555,12962.555,36,11,1,0
14,1991,9.1,4,0,31640.419,22154.185,25,11,1,9.4862335
14,1991,9.1,0,1,11732.291,10723.568,24,7,0,1.0087225
14,1991,9.1,1,1,3280.7048,0,21,10,0,3.2807048
14,1991,9.1,0,0,0,0,23,10,0,0
14,1991,9.1,1,0,39906.993,24628.855,53,3,0,15.278139
14,1991,9.1,2,0,33745.066,18854.626,38,9,1,14.890441
14,1991,9.1,0,1,37869.515,37869.515,44,11,1,0
14,1991,9.1,0,0,55722.489,3535.2423,27,3,1,52.187247
14,1991,9.1,1,1,12585.463,0,38,11,0,12.585463
14,1991,9.1,6,1,22049.306,1178.4141,31,11,0,20.870892
14,1991,9.1,3,1,9250.5507,0,32,11,0,9.2505507
14,1991,9.1,2,1,9375.4626,0,36,3,0,9.3754626
14,1991,9.1,0,0,3558.8106,3535.2423,30,11,1,.02356828
14,1991,9.1,2,0,54692.555,49964.758,54,0,1,4.7277974
14,1991,9.1,0,1,4694.8018,0,47,7,0,4.6948018
14,1991,9.1,2,0,10134.361,7070.4846,27,10,1,3.0638767
14,1991,9.1,0,0,3464.5374,1696.9163,26,10,1,1.7676211
14,1991,9.1,1,1,1060.5727,0,21,7,0,1.0605727
14,1991,9.1,5,1,18072.159,18072.159,37,11,1,0
14,1991,9.1,1,0,7070.4846,0,37,10,0,7.0704846
14,1991,9.1,0,1,14296.52,0,45,3,0,14.29652
14,1991,9.1,3,1,2715.0661,0,37,0,0,2.7150661
14,1991,9.1,0,0,35763.689,35763.689,20,11,1,0
14,1991,9.1,3,1,8484.5815,0,32,10,0,8.4845815
14,1991,9.1,2,1,5716.4868,0,22,10,0,5.7164868
14,1991,9.1,0,0,5577.4339,0,47,11,0,5.5774339
14,1991,9.1,1,0,6639.185,412.44493,32,11,1,6.2267401
14,1991,9.1,2,1,28355,27598.458,24,7,1,.75654185
